iter	Passed	Remaining
0	155	155002
1	157	78764
2	159	53112
3	161	40248
4	163	32513
5	164	27316
6	166	23592
7	167	20783
8	168	18598
9	170	16861
10	171	15437
11	173	14259
12	174	13246
13	175	12368
14	176	11603
15	177	10938
16	179	10363
17	180	9840
18	181	9371
19	182	8952
20	183	8573
21	185	8240
22	186	7921
23	187	7634
24	188	7366
25	190	7118
26	191	6892
27	192	6683
28	193	6486
29	194	6300
30	232	7274
31	234	7098
32	236	6926
33	237	6749
34	238	6582
35	240	6437
36	243	6325
37	245	6211
38	247	6104
39	250	6011
40	251	5886
41	252	5764
42	253	5648
43	254	5537
44	256	5433
45	257	5332
46	258	5234
47	259	5142
48	260	5052
49	261	4970
50	262	4887
51	264	4823
52	266	4753
53	267	4680
54	268	4610
55	269	4544
56	270	4477
57	271	4412
58	272	4350
59	273	4289
60	274	4231
61	276	4177
62	277	4122
63	278	4069
64	279	4025
65	281	3976
66	281	3925
67	282	3876
68	283	3828
69	284	3781
70	285	3736
71	286	3694
72	287	3651
73	288	3610
74	289	3569
75	290	3529
76	291	3491
77	292	3453
78	293	3417
79	294	3386
80	296	3361
81	297	3328
82	298	3295
83	299	3263
84	300	3231
85	301	3199
86	302	3169
87	302	3139
88	303	3109
89	304	3082
90	305	3055
91	306	3027
92	307	3000
93	308	2973
94	309	2950
95	311	2933
96	312	2909
97	313	2885
98	314	2863
99	315	2839
100	316	2817
101	317	2794
102	318	2771
103	319	2750
104	320	2728
105	321	2708
106	322	2689
107	323	2672
108	324	2654
109	327	2648
110	328	2633
111	330	2617
112	331	2603
113	333	2589
114	334	2575
115	335	2559
116	336	2543
117	338	2527
118	339	2511
119	340	2495
120	342	2485
121	343	2470
122	344	2456
123	345	2442
124	346	2426
125	347	2412
126	348	2397
127	350	2385
128	351	2371
129	352	2358
130	353	2345
131	354	2332
132	355	2320
133	357	2311
134	359	2304
135	361	2295
136	362	2285
137	363	2273
138	364	2260
139	365	2246
140	366	2234
141	367	2221
142	368	2208
143	369	2195
144	371	2190
145	372	2180
146	374	2172
147	375	2161
148	376	2151
149	378	2145
150	379	2135
151	380	2124
152	381	2113
153	382	2102
154	383	2091
155	384	2080
156	385	2069
157	386	2058
158	387	2049
159	389	2045
160	391	2040
161	392	2032
162	394	2024
163	395	2016
164	396	2007
165	397	1997
166	398	1989
167	399	1979
168	400	1970
169	401	1960
170	402	1953
171	404	1948
172	405	1940
173	407	1935
174	409	1928
175	410	1920
176	411	1911
177	412	1902
178	412	1894
179	413	1885
180	414	1877
181	415	1868
182	416	1860
183	417	1852
184	418	1844
185	420	1840
186	421	1834
187	423	1829
188	424	1822
189	425	1814
190	426	1806
191	427	1798
192	428	1791
193	429	1784
194	430	1776
195	431	1768
196	432	1761
197	433	1754
198	433	1746
199	435	1742
200	436	1737
201	438	1732
202	439	1726
203	440	1719
204	441	1712
205	442	1705
206	443	1698
207	444	1692
208	445	1685
209	446	1679
210	447	1672
211	448	1666
212	449	1659
213	450	1654
214	451	1650
215	453	1644
216	454	1641
217	455	1635
218	456	1629
219	457	1623
220	458	1616
221	459	1610
222	460	1604
223	461	1598
224	462	1592
225	463	1586
226	464	1580
227	465	1575
228	466	1571
229	467	1566
230	468	1560
231	470	1556
232	471	1553
233	473	1549
234	474	1544
235	475	1538
236	476	1532
237	477	1527
238	477	1521
239	478	1516
240	479	1510
241	480	1505
242	481	1501
243	483	1498
244	484	1493
245	485	1488
246	486	1483
247	488	1480
248	489	1476
249	490	1471
250	491	1466
251	492	1461
252	493	1456
253	494	1451
254	495	1446
255	495	1441
256	497	1437
257	498	1434
258	499	1430
259	500	1425
260	501	1420
261	502	1415
262	503	1411
263	504	1406
264	505	1401
265	506	1397
266	507	1392
267	508	1388
268	509	1383
269	510	1379
270	510	1374
271	511	1370
272	513	1366
273	513	1361
274	514	1357
275	515	1353
276	516	1348
277	517	1344
278	518	1340
279	519	1336
280	520	1332
281	521	1328
282	522	1324
283	523	1320
284	524	1315
285	525	1311
286	526	1307
287	527	1303
288	528	1299
289	529	1296
290	530	1292
291	531	1288
292	532	1284
293	533	1280
294	534	1276
295	535	1272
296	535	1268
297	536	1264
298	537	1260
299	538	1256
300	539	1253
301	540	1249
302	541	1245
303	542	1241
304	543	1238
305	544	1234
306	545	1231
307	546	1227
308	547	1223
309	548	1220
310	549	1216
311	549	1212
312	550	1209
313	551	1205
314	552	1201
315	553	1198
316	554	1194
317	555	1191
318	556	1187
319	557	1184
320	558	1180
321	559	1177
322	560	1174
323	561	1170
324	562	1167
325	562	1163
326	563	1160
327	564	1156
328	565	1153
329	566	1150
330	567	1146
331	568	1143
332	569	1140
333	570	1136
334	571	1133
335	571	1130
336	572	1127
337	573	1123
338	574	1120
339	575	1117
340	576	1114
341	577	1111
342	578	1108
343	579	1105
344	580	1102
345	581	1099
346	582	1096
347	583	1093
348	584	1089
349	585	1086
350	586	1083
351	587	1080
352	588	1078
353	589	1074
354	589	1071
355	590	1069
356	591	1066
357	592	1063
358	593	1060
359	594	1057
360	595	1054
361	596	1051
362	597	1048
363	598	1045
364	599	1042
365	600	1039
366	601	1036
367	602	1033
368	602	1030
369	603	1028
370	604	1025
371	605	1022
372	606	1019
373	607	1017
374	608	1014
375	609	1011
376	610	1008
377	611	1006
378	612	1003
379	613	1000
380	614	997
381	615	995
382	616	992
383	617	989
384	618	987
385	619	984
386	620	982
387	621	979
388	622	977
389	623	974
390	624	972
391	625	969
392	626	967
393	627	965
394	628	962
395	629	960
396	630	957
397	631	955
398	632	952
399	633	950
400	635	948
401	636	946
402	637	943
403	638	941
404	639	939
405	640	936
406	641	934
407	642	932
408	643	929
409	644	927
410	645	924
411	646	922
412	646	919
413	647	916
414	648	914
415	649	912
416	650	909
417	651	907
418	652	904
419	653	902
420	654	900
421	655	897
422	656	895
423	657	893
424	658	890
425	659	888
426	660	885
427	660	883
428	661	880
429	662	878
430	663	876
431	664	874
432	665	871
433	666	869
434	667	866
435	668	864
436	669	862
437	670	860
438	671	857
439	672	855
440	673	853
441	674	850
442	674	848
443	675	846
444	676	844
445	677	841
446	678	839
447	679	837
448	680	835
449	681	833
450	682	830
451	683	828
452	684	826
453	685	824
454	686	821
455	687	819
456	687	817
457	688	815
458	689	813
459	690	810
460	691	808
461	692	806
462	693	804
463	694	802
464	695	800
465	697	798
466	697	796
467	699	794
468	700	792
469	701	790
470	702	788
471	703	787
472	704	784
473	705	783
474	706	780
475	707	778
476	708	776
477	709	774
478	710	772
479	711	770
480	712	768
481	713	766
482	714	764
483	715	762
484	716	760
485	717	758
486	718	756
487	719	754
488	720	752
489	720	750
490	721	748
491	722	746
492	723	744
493	724	742
494	725	740
495	726	738
496	727	736
497	728	734
498	729	732
499	730	730
500	731	728
501	732	726
502	733	724
503	734	722
504	735	720
505	736	718
506	737	716
507	738	714
508	739	712
509	739	710
510	740	708
511	741	707
512	742	705
513	743	703
514	744	701
515	745	699
516	746	697
517	747	695
518	748	693
519	749	691
520	750	689
521	751	687
522	752	686
523	753	684
524	754	682
525	755	680
526	755	678
527	756	676
528	757	674
529	758	672
530	759	670
531	760	669
532	761	667
533	762	665
534	763	663
535	764	661
536	765	659
537	766	657
538	767	656
539	768	654
540	769	652
541	770	650
542	771	649
543	772	647
544	773	645
545	773	643
546	774	641
547	775	639
548	776	638
549	777	636
550	778	634
551	779	632
552	780	630
553	781	629
554	782	627
555	783	625
556	784	623
557	785	622
558	786	620
559	787	618
560	788	616
561	788	614
562	789	613
563	790	611
564	791	609
565	792	607
566	793	606
567	794	604
568	795	602
569	796	600
570	798	599
571	799	597
572	800	596
573	800	594
574	801	592
575	802	591
576	803	589
577	804	587
578	805	585
579	806	584
580	807	582
581	808	580
582	809	578
583	810	577
584	811	575
585	812	573
586	813	572
587	814	570
588	815	568
589	816	567
590	816	565
591	817	563
592	818	561
593	819	560
594	820	558
595	821	556
596	822	555
597	823	553
598	824	551
599	825	550
600	825	548
601	826	546
602	828	545
603	829	543
604	830	542
605	831	540
606	833	539
607	834	538
608	835	536
609	836	535
610	837	533
611	838	531
612	839	530
613	840	528
614	841	526
615	842	525
616	843	523
617	845	522
618	846	521
619	847	519
620	848	517
621	849	516
622	850	514
623	851	513
624	852	511
625	853	509
626	854	508
627	855	506
628	855	504
629	856	503
630	857	501
631	858	500
632	860	498
633	861	497
634	862	495
635	863	494
636	864	492
637	865	491
638	866	489
639	867	487
640	868	486
641	869	484
642	870	483
643	871	481
644	871	479
645	872	478
646	873	476
647	875	475
648	876	473
649	877	472
650	878	470
651	879	469
652	880	467
653	881	466
654	882	464
655	882	462
656	883	461
657	884	459
658	885	458
659	886	456
660	887	455
661	888	453
662	889	452
663	891	451
664	892	449
665	893	448
666	894	446
667	895	445
668	896	443
669	897	441
670	898	440
671	899	439
672	900	437
673	901	435
674	902	434
675	903	432
676	904	431
677	905	430
678	907	428
679	908	427
680	909	426
681	910	424
682	911	422
683	912	421
684	912	419
685	913	418
686	914	416
687	915	415
688	916	413
689	917	412
690	918	410
691	919	409
692	920	407
693	921	406
694	923	405
695	924	403
696	925	402
697	926	400
698	927	399
699	928	397
700	929	396
701	930	394
702	931	393
703	932	391
704	932	390
705	933	388
706	934	387
707	935	385
708	937	384
709	938	383
710	939	381
711	940	380
712	941	379
713	942	377
714	943	376
715	944	374
716	945	373
717	946	371
718	947	370
719	948	368
720	949	367
721	950	365
722	951	364
723	951	362
724	953	361
725	954	360
726	956	359
727	957	357
728	957	356
729	958	354
730	959	353
731	960	351
732	961	350
733	962	348
734	963	347
735	964	346
736	965	344
737	966	343
738	967	341
739	968	340
740	970	339
741	971	337
742	972	336
743	973	334
744	974	333
745	975	332
746	976	330
747	977	329
748	977	327
749	978	326
750	979	324
751	980	323
752	981	322
753	982	320
754	983	319
755	985	318
756	986	316
757	987	315
758	988	313
759	989	312
760	990	311
761	991	309
762	992	308
763	993	306
764	994	305
765	995	304
766	996	302
767	997	301
768	998	299
769	999	298
770	1000	297
771	1001	295
772	1002	294
773	1003	293
774	1004	291
775	1005	290
776	1006	288
777	1007	287
778	1008	286
779	1009	284
780	1010	283
781	1011	282
782	1012	280
783	1013	279
784	1014	277
785	1015	276
786	1017	275
787	1018	273
788	1019	272
789	1020	271
790	1021	269
791	1022	268
792	1023	267
793	1024	265
794	1024	264
795	1025	262
796	1026	261
797	1027	260
798	1028	258
799	1029	257
800	1030	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1036	249
806	1037	248
807	1038	246
808	1039	245
809	1040	244
810	1041	242
811	1042	241
812	1043	239
813	1044	238
814	1045	237
815	1045	235
816	1047	234
817	1048	233
818	1049	232
819	1050	230
820	1051	229
821	1052	227
822	1053	226
823	1054	225
824	1055	223
825	1056	222
826	1057	221
827	1058	219
828	1059	218
829	1060	217
830	1061	215
831	1062	214
832	1065	213
833	1066	212
834	1068	211
835	1069	209
836	1070	208
837	1070	207
838	1071	205
839	1072	204
840	1073	202
841	1074	201
842	1075	200
843	1076	198
844	1077	197
845	1078	196
846	1079	195
847	1080	193
848	1081	192
849	1082	191
850	1083	189
851	1084	188
852	1085	187
853	1086	185
854	1087	184
855	1088	183
856	1089	181
857	1090	180
858	1091	179
859	1092	177
860	1093	176
861	1095	175
862	1096	174
863	1097	172
864	1098	171
865	1099	170
866	1100	168
867	1101	167
868	1102	166
869	1103	164
870	1104	163
871	1105	162
872	1106	160
873	1107	159
874	1109	158
875	1110	157
876	1111	155
877	1112	154
878	1113	153
879	1114	151
880	1114	150
881	1116	149
882	1117	148
883	1117	146
884	1118	145
885	1119	144
886	1120	142
887	1121	141
888	1122	140
889	1124	138
890	1125	137
891	1126	136
892	1127	135
893	1128	133
894	1129	132
895	1130	131
896	1131	129
897	1132	128
898	1133	127
899	1133	125
900	1134	124
901	1135	123
902	1136	122
903	1137	120
904	1139	119
905	1140	118
906	1141	117
907	1142	115
908	1143	114
909	1144	113
910	1145	111
911	1146	110
912	1147	109
913	1148	108
914	1149	106
915	1150	105
916	1151	104
917	1152	102
918	1153	101
919	1155	100
920	1156	99
921	1157	97
922	1158	96
923	1159	95
924	1160	94
925	1161	92
926	1162	91
927	1163	90
928	1164	88
929	1165	87
930	1166	86
931	1167	85
932	1168	83
933	1169	82
934	1170	81
935	1171	80
936	1172	78
937	1173	77
938	1174	76
939	1175	75
940	1176	73
941	1177	72
942	1178	71
943	1179	69
944	1180	68
945	1181	67
946	1182	66
947	1183	64
948	1184	63
949	1185	62
950	1187	61
951	1188	59
952	1189	58
953	1190	57
954	1191	56
955	1192	54
956	1193	53
957	1194	52
958	1194	51
959	1195	49
960	1196	48
961	1197	47
962	1198	46
963	1199	44
964	1200	43
965	1202	42
966	1203	41
967	1204	39
968	1205	38
969	1206	37
970	1207	36
971	1208	34
972	1209	33
973	1210	32
974	1211	31
975	1211	29
976	1212	28
977	1213	27
978	1214	26
979	1215	24
980	1216	23
981	1218	22
982	1219	21
983	1220	19
984	1221	18
985	1222	17
986	1223	16
987	1224	14
988	1225	13
989	1226	12
990	1227	11
991	1228	9
992	1229	8
993	1231	7
994	1232	6
995	1233	4
996	1235	3
997	1236	2
998	1237	1
999	1238	0
